,name,address,no_available,dock_bikes,lat_destino,long_destino,Posicion_destino
189,Alcalá-Ventas,Calle Alejandro González nº 1,0,9,40.4301666,-3.6638888,POINT (4500665.558599217 -408140.4923668504)
190,Puente de Ventas,Avenida de Daroca nº 2,0,7,40.4311944,-3.6590555,POINT (4500779.972771854 -407601.3513700205)
191,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,0,13,40.4351256,-3.6554918,POINT (4501217.591954061 -407203.8325390252)
192,Velázquez-Diego de León,Calle Velázquez nº 91,0,16,40.4343333,-3.6835833,POINT (4501129.393521504 -410337.3885030076)
193,Diego de león,Calle Alonso Heredia nº 1,0,5,40.4346388,-3.674,POINT (4501163.401625942 -409268.3776613389)
194,Avenida de los Toreros,Avenida de los Toreros nº 3,0,17,40.4318611,-3.6714166,POINT (4500854.189476366 -408980.2030483828)
195,Ventas,Avenida de los Toreros nº 49,0,7,40.4324722,-3.6655555,POINT (4500922.216817189 -408326.4087308961)
196,Avenida de América 2,Calle Francisco Silvela nº 86,0,5,40.43725,-3.6772222,POINT (4501454.079080301 -409627.8106793762)
197,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,0,2,40.4392222,-3.6754444,POINT (4501673.623380044 -409429.4988002647)
198,Prosperidad,Calle Suero de Quiñones nº 2,0,10,40.4441388,-3.6751388,POINT (4502220.936788478 -409395.4094541799)
199,Parque Berlín,Avenida de Concha Espina nº 34,0,7,40.4515833,-3.6780555,POINT (4503049.65473769 -409720.7646285503)
200,Rubén Darío,Glorieta Rubén Darío 2,0,9,40.4331111,-3.6915555,POINT (4500993.338839858 -411226.6909641499)
201,Fernando el Católico,Calle Fernando el Católico nº 61,0,13,40.4343611,-3.7149166,POINT (4501132.488203349 -413832.6781130448)
202,Quevedo,Glorieta de Quevedo nº 5,0,18,40.4336944,-3.7046666,POINT (4501058.271498838 -412689.2573789555)
203,Canal,Calle José Abascal frente al nº 2,0,12,40.4386944,-3.7038333,POINT (4501614.868952803 -412596.3006447438)
204,Parque Santander,Calle Santander esquina con Avenida de Filipinas,0,15,40.4411388,-3.7080833,POINT (4501886.978316098 -413070.3998686467)
205,San Francisco de Sales,Calle General Ampudia nº 2,0,4,40.44175,-3.7144722,POINT (4501955.016788872 -413783.1035769779)
206,Cuatro Caminos 2,Calle Doctor Santero nº 1,0,2,40.4476666,-3.7041666,POINT (4502613.649688099 -412633.4810968745)
207,Estrecho,Calle Navarra nº 1,0,5,40.4535,-3.7032777,POINT (4503263.020805692 -412534.3221003983)
208,Metro Tetuán,Calle Marqués de Viana nº 3,0,16,40.4607502,-3.6989925,POINT (4504070.109377841 -412056.2988241261)
209,Remonta,Calle Azucenas nº 1,0,2,40.4630277,-3.6973333,POINT (4504323.639518123 -411871.2121165185)
210,Plaza de Castilla,Paseo de la Castellana nº 216,0,11,40.4663611,-3.6886388,POINT (4504694.711908733 -410901.3308547352)
211,Plaza de Castilla 2,Paseo Castellana (Fundación Canal),0,18,40.4656779,-3.6887722,POINT (4504618.658432623 -410916.2117031645)
212,Tres Cruces,Calle Tres Cruces nº 7,0,7,40.419674,-3.7026735,POINT (4499497.527710119 -412466.9221508605)
213,Desengaño,Calle Desengaño nº 1,0,10,40.42059,-3.70239,POINT (4499599.496363685 -412435.2970662616)
214,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,0,12,40.398247,-3.716591,POINT (4497112.284980891 -414019.4641230708)
215,Glorieta de Cádiz,Calle Antonio López nº 129,0,7,40.38895,-3.70017,POINT (4496077.347674986 -412187.6512511889)
216,Condesa de Venadito,Calle Condesa de Venadito nº 2,0,13,40.44315,-3.65741,POINT (4502110.864075982 -407417.8011451731)
217,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,0,18,40.429706,-3.640994,POINT (4500614.284841758 -405586.6676448087)
218,Puerta del Ángel,Plaza Puerta del Ángel nº 4,0,16,40.413764,-3.728318,POINT (4498839.629519532 -415327.6677751078)
219,Pedro Rico,Calle Pedro Rico nº 4,0,13,40.481086,-3.688463,POINT (4506333.880278716 -410881.7202647889)
